file,poke_clusters
respi_20250310_111645.txt,"[[31.28477, 31.90098, 32.61504, 33.3042, 33.90557], [206.0106, 207.1981, 208.14, 208.958, 209.5254]]"
respi_20250310_133455.txt,"[[20.27695, 20.85684, 21.49609, 22.17305, 22.79287], [84.45937, 85.08672, 85.729, 87.2709, 88.27441]]"
respi_20250310_145836.txt,"[[13.15635, 13.84629, 14.35518, 14.93437, 16.94004], [13.84629, 14.35518, 14.93437, 16.94004, 17.54248]]"
respi_20250310_153402.txt,"[[21.7916, 22.3126, 22.89385, 23.48008, 24.06445], [155.0245, 155.7559, 156.3289, 156.8746, 157.3807]]"
respi_20250311_125224.txt,"[[19.20127, 19.81133, 20.36611, 20.93193, 21.47441], [165.8311, 166.3321, 166.837, 167.5521, 168.2115]]"
respi_20250311_132313.txt,"[[23.22002, 23.79971, 24.39355, 24.98779, 25.5666], [174.8312, 175.4114, 175.9953, 176.8965, 177.717]]"
respi_20250312_082147.txt,"[[172.2531, 172.7576, 173.3553, 174.0589, 174.8091], [172.7576, 173.3553, 174.0589, 174.8091, 175.623]]"
respi_20250312_090451.txt,"[[18.1834, 18.75869, 19.29102, 19.87959, 20.38037], [164.844, 165.6193, 167.1253, 167.7195, 168.5214]]"
respi_20250320_090201.txt,"[[31.58916, 32.23525, 32.80068, 33.40244, 33.9083], [124.2673, 124.7827, 125.2914, 125.8075, 126.375]]"
respi_20250320_093847.txt,"[[98.31826, 98.93955, 99.46992, 100.0991, 100.7668], [98.93955, 99.46992, 100.0991, 100.7668, 101.615]]"
respi_20250320_102350.txt,"[[97.93252, 98.64053, 99.35684, 100.0239, 100.5593], [98.64053, 99.35684, 100.0239, 100.5593, 101.1188]]"
respi_20250320_104858.txt,"[[87.06465, 88.00361, 88.69766, 89.49111, 90.04971], [88.00361, 88.69766, 89.49111, 90.04971, 90.69766]]"
respi_20250320_111333.txt,"[[101.0748, 101.6627, 102.2792, 102.8849, 103.5229], [101.6627, 102.2792, 102.8849, 103.5229, 104.28]]"
respi_20250320_114134.txt,"[[107.1399, 107.6465, 108.617, 109.5522, 110.097], [107.6465, 108.617, 109.5522, 110.097, 110.6848]]"
respi_20250320_124101.txt,"[[94.59854, 95.53906, 96.25732, 97.23789, 97.97275], [95.53906, 96.25732, 97.23789, 97.97275, 98.70078]]"
respi_20250320_134513.txt,"[[90.37471, 91.2583, 91.82891, 92.33301, 92.90918], [91.2583, 91.82891, 92.33301, 92.90918, 93.52441]]"
respi_20250320_141545.txt,"[[22.31455, 22.84453, 23.34834, 23.84834, 24.36094], [97.15635, 97.86846, 98.41904, 99.38848, 100.149]]"
respi_20250320_150319.txt,"[[95.32832, 96.07764, 96.67637, 97.2499, 97.79092], [96.07764, 96.67637, 97.2499, 97.79092, 98.70439]]"
respi_20250323_091109.txt,"[[95.15879, 96.79854, 97.51025, 98.06924, 98.99707], [96.79854, 97.51025, 98.06924, 98.99707, 100.0225]]"
respi_20250323_093517.txt,"[[17.99307, 18.52217, 19.02354, 19.52871, 20.0332], [18.52217, 19.02354, 19.52871, 20.0332, 20.57451]]"
respi_20250323_103905.txt,"[[96.97344, 97.50078, 98.13379, 98.70156, 99.60654], [97.50078, 98.13379, 98.70156, 99.60654, 100.208]]"
respi_20250323_110532.txt,"[[105.5465, 106.558, 107.2676, 107.7792, 108.2912], [106.558, 107.2676, 107.7792, 108.2912, 108.9051]]"
respi_20250323_114537.txt,"[[107.5643, 109.2845, 109.9469, 110.8409, 111.7536], [109.2845, 109.9469, 110.8409, 111.7536, 112.7244]]"
respi_20250323_124219.txt,"[[104.8089, 105.3605, 106.0493, 106.8396, 107.423], [105.3605, 106.0493, 106.8396, 107.423, 108.1771]]"
respi_20250323_133740.txt,"[[101.7594, 102.3168, 102.8175, 103.8075, 104.3175], [102.3168, 102.8175, 103.8075, 104.3175, 104.9124]]"
respi_20250323_140749.txt,"[[13.22207, 13.76943, 14.32822, 14.82852, 15.33633], [107.7104, 108.4116, 109.0108, 109.9087, 110.4202]]"
respi_20250323_143735.txt,"[[112.5879, 113.1508, 114.1324, 114.8081, 115.587], [113.1508, 114.1324, 114.8081, 115.587, 116.1169]]"
respi_20250324_103712.txt,"[[107.2092, 107.9176, 108.5587, 109.2405, 109.7832], [107.9176, 108.5587, 109.2405, 109.7832, 110.2921]]"
respi_20250324_110551.txt,"[[43.8584, 44.44375, 45.00557, 45.90586, 46.55205], [44.44375, 45.00557, 45.90586, 46.55205, 48.06416]]"
respi_20250324_113704.txt,"[[78.22129, 78.77324, 79.39131, 79.91865, 80.75918], [78.77324, 79.39131, 79.91865, 80.75918, 81.3876]]"
respi_20250324_120415.txt,"[[15.76641, 16.62646, 17.4583, 18.2292, 18.73965], [16.62646, 17.4583, 18.2292, 18.73965, 19.57812]]"
